==============================
Test Name   : TriangleWave_Test
Result      : PASS
Final PnL   : 1.6
Num trades  : 11
Time taken  : 33 us
==============================

T       SIDE    PRICE       PNL
--------------------------------------
69      NONE    0.0000      0.7149
70      NONE    0.0000      0.7437
71      NONE    0.0000      0.8125
72      NONE    0.0000      0.8413
73      NONE    0.0000      0.9101
74      NONE    0.0000      0.9789
75      NONE    0.0000      1.0077
76      NONE    0.0000      1.0765
77      NONE    0.0000      1.1453
78      NONE    0.0000      1.1742
79      NONE    0.0000      1.2430
80      NONE    0.0000      1.1943
81      NONE    0.0000      1.1632
82      NONE    0.0000      1.1322
83      NONE    0.0000      1.0611
84      NONE    0.0000      1.0300
85      NONE    0.0000      0.9589
86      BUY     99.9118     0.8778
87      BUY     99.9428     0.8278
88      NONE    0.0000      0.8989
89      NONE    0.0000      0.9300
90      NONE    0.0000      0.9611
91      NONE    0.0000      1.0322
92      NONE    0.0000      1.0632
93      NONE    0.0000      1.1343
94      NONE    0.0000      1.1654
95      NONE    0.0000      1.1965
96      NONE    0.0000      1.2676
97      NONE    0.0000      1.2986
98      NONE    0.0000      1.3697
99      NONE    0.0000      1.4008
100     NONE    0.0000      1.4319
101     NONE    0.0000      1.4108
102     NONE    0.0000      1.3497
103     NONE    0.0000      1.3287
104     NONE    0.0000      1.2676
105     NONE    0.0000      1.2066
106     NONE    0.0000      1.1855
107     SELL    100.1394    1.0744
108     SELL    100.0784    1.0244
109     NONE    0.0000      1.0455
110     NONE    0.0000      1.1066
111     NONE    0.0000      1.1276
112     NONE    0.0000      1.1887
113     NONE    0.0000      1.2497
114     NONE    0.0000      1.2708
115     NONE    0.0000      1.3319
116     NONE    0.0000      1.3529
117     NONE    0.0000      1.4140
118     NONE    0.0000      1.4751
119     NONE    0.0000      1.4961
120     NONE    0.0000      1.6797
